// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B44087
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
12132	9.701839	-0.435762	-0.123827	0.109168	0.022854	-0.100918	0.005296	0.005156	0.007760	-0.877686	-0.197510	-0.402832	0.680151	0.162961	-0.688712	0.191084	NaN	NaN	NaN	NaN	NaN	NaN
12133	9.776087	-0.425884	-0.141744	0.118244	0.043643	-0.027114	0.018178	0.000184	0.006043	-0.877686	-0.197510	-0.407227	0.680130	0.162986	-0.688706	0.191160	NaN	NaN	NaN	NaN	NaN	NaN
12134	9.776495	-0.362955	-0.168404	0.110646	0.112266	-0.029277	0.023612	-0.000182	0.008323	-0.868408	-0.199707	-0.405029	0.680100	0.163031	-0.688697	0.191265	NaN	NaN	NaN	NaN	NaN	NaN
12135	9.799662	-0.372496	-0.144297	0.093373	0.093811	-0.005780	0.023694	0.000234	0.006207	-0.877686	-0.197510	-0.405029	0.680077	0.163078	-0.688681	0.191361	NaN	NaN	NaN	NaN	NaN	NaN
12136	9.804328	-0.336433	-0.234628	0.154192	0.170052	-0.002468	0.023527	-0.002717	0.010024	-0.873047	-0.201904	-0.409180	0.680036	0.163118	-0.688682	0.191469	NaN	NaN	NaN	NaN	NaN	NaN
12137	9.827711	-0.314344	-0.224165	0.133195	0.185894	0.019946	0.005194	-0.001613	0.008629	-0.875488	-0.195068	-0.407227	0.680020	0.163097	-0.688692	0.191509	NaN	NaN	NaN	NaN	NaN	NaN
12138	9.825334	-0.333581	-0.179023	0.102595	0.147787	0.018292	-0.011294	0.001626	0.007703	-0.880127	-0.195068	-0.400879	0.680025	0.163023	-0.688709	0.191493	NaN	NaN	NaN	NaN	NaN	NaN
12139	9.799767	-0.343753	-0.158284	0.089182	0.128275	-0.006860	-0.016770	-0.008601	0.003347	-0.879883	-0.201904	-0.402832	0.680003	0.162945	-0.688765	0.191432	NaN	NaN	NaN	NaN	NaN	NaN
12140	9.848233	-0.375209	-0.143332	0.088767	0.095076	0.042874	-0.016999	-0.017056	0.007184	-0.879883	-0.201904	-0.406982	0.679949	0.162871	-0.688851	0.191380	NaN	NaN	NaN	NaN	NaN	NaN
12141	9.850060	-0.421236	-0.162997	0.126607	0.064549	0.046699	-0.015160	-0.007714	0.010166	-0.873047	-0.197510	-0.409424	0.679922	0.162788	-0.688905	0.191352	NaN	NaN	NaN	NaN	NaN	NaN
